Dates,intl_stocks,us_stocks,us_bonds,inflation,intl_bonds
1926,0.11138205,0.11138205,0.058245983,-0.011173128,0.179050626
1927,0.371257999,0.371257999,0.068227111,-0.022598982,0.169389539
1928,0.433079479,0.433079479,0.009758256,-0.011560637,0.018225468
1929,-0.089068723,-0.089068723,0.044472295,0.005848012,0.06513539
1930,-0.252573531,-0.252573531,0.045587932,-0.063953543,0.126820229
1931,-0.438578672,-0.438578672,-0.025717699,-0.093167702,-0.067477771
1932,-0.088612216,-0.088612216,0.088987227,-0.102739726,0.085791833
1933,0.528947999,0.528947999,0.018100028,0.007633588,0.161118907
1934,-0.02340607,-0.02340607,0.07941896,0.015151515,-0.085755788
1935,0.472081844,0.472081844,0.043094816,0.029850746,-0.03055281
1936,0.328009364,0.328009364,0.053676694,0.014492754,0.043584566
1937,-0.352577347,-0.352577347,0.012811496,0.028571429,0.188944335
1938,0.33199088,0.33199088,0.043969225,-0.027777778,0.094332281
1939,-0.009094635,-0.009094635,0.040091612,0,0.120958807
1940,-0.1008257,-0.1008257,0.060937057,0.007142857,-0.054025976
1941,-0.117672224,-0.117672224,0.02720117,0.09929078,0.045786883
1942,0.21075701,0.21075701,0.017578507,0.090322581,0.226954316
1943,0.257575664,0.257575664,0.019987809,0.029585799,0.027203153
1944,0.19693566,0.19693566,0.02294989,0.022988448,0.178777264
1945,0.364605917,0.364605917,0.057714411,0.022472024,0.217853232
1946,-0.081803829,-0.081803829,0.003812261,0.181318616,0.115749803
1947,0.052400411,0.052400411,-0.013919229,0.088837209,0.236379471
1948,0.050990286,0.050990286,0.02726563,0.027338701,0.015524826
1949,0.180648295,0.180648295,0.049329004,-0.018295136,0.150183724
1950,0.305791337,0.305791337,-0.013746278,0.058026215,0.026379535
1951,0.245528782,0.245528782,-0.005541292,0.059647678,-0.040458104
1952,0.18501088,0.18501088,0.018833022,0.009066868,0.089497803
1953,-0.010987297,-0.010987297,0.022182989,0.005990341,-0.032933473
1954,0.52403741,0.52403741,0.031514371,-0.00372166,-0.056694568
1955,0.314287622,0.314287622,-0.011298338,0.003735562,0.044980491
1956,0.066269841,0.066269841,-0.026845817,0.028284256,-0.060669876
1957,-0.108535005,-0.108535005,0.059202328,0.030401738,-0.017500086
1958,0.43344445,0.43344445,-0.021084384,0.017562347,0.099690874
1959,0.119044342,0.119044342,-0.011304012,0.015188161,0.170984255
1960,0.004830371,0.004830371,0.116635196,0.013600782,0.150768134
1961,0.268114131,0.268114131,0.020976809,0.006709192,0.122363551
1962,-0.087840364,-0.087840364,0.058203864,0.01232919,0.011921965
1963,0.226912639,0.226912639,0.016468232,0.016458197,0.365859411
1964,0.163575901,0.163575901,0.036770093,0.011981898,0.076603719
1965,0.123558206,0.123558206,0.007227929,0.0192,-0.018263312
1966,-0.101045688,-0.101045688,0.054502461,0.033594914,-0.001665569
1967,0.239424838,0.239424838,-0.030873294,0.032806867,0.043663339
1968,0.11002336,0.11002336,0.062661852,0.047058765,0.14175806
1969,-0.084655582,-0.084655582,-0.056356053,0.058988852,0.155367476
1970,-0.134110014,0.039856724,0.189175444,0.055702863,-0.0671437
1971,0.332986887,0.143254631,0.112387655,0.032663292,0.032264844
1972,0.403640565,0.189356061,0.023849124,0.034063311,-0.0152325
1973,-0.106727353,-0.147912383,0.033333093,0.089411741,0.034718298
1974,-0.185281894,-0.265389256,0.040894458,0.120950391,0.159982528
1975,0.327625379,0.372500212,0.05618226,0.071290864,-0.055940203
1976,0.035512822,0.236745973,0.152473069,0.050359786,0.148666569
1977,0.175169931,-0.073879737,0.006584178,0.066780768,0.101630877
1978,0.330986764,0.064399049,-0.007695651,0.08988769,0.135967397
1979,0.109408089,0.183529133,0.019234136,0.132547861,0.001657408
1980,0.254401344,0.3226648,-0.010726408,0.123537058,0.041600767
1981,-0.024541337,-0.050530074,0.055529577,0.089120322,0.069238198
1982,-0.002588791,0.2148329,0.393086248,0.038257163,0.177977654
1983,0.24787126,0.224996793,0.026427366,0.037871066,0.185479162
1984,0.034684718,0.061522793,0.150122752,0.040433925,0.017792759
1985,0.514002846,0.316475994,0.296214312,0.037914692,-0.031876587
1986,0.658402589,0.186034328,0.212861716,0.011872146,-0.079061211
1987,0.245601479,0.051709065,-0.022166345,0.0433213,0.14809585
